dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=0, victim=False
dx=1, dy=1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=1, dy=1, victim=True
dx=1, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=True
dx=1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=0, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=True
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=0, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=0, dy=-1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=0, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=-1, dy=1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=0, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=True
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=0, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=False
dx=-1, dy=-1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=0, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=False
dx=-1, dy=1, victim=True
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=-1, victim=False
dx=1, dy=1, victim=False
dx=1, dy=1, victim=True
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
dx=0, dy=-1, victim=False
